Date,averageincome, medianincome,inv_avg_income,inv_med_income,retpopamountx1k,ret_avg_income,ret_med_income,gtranspopamountx1k,gtransavgincome,gtransmedincome
1976,74900,68400,7700,1800,485,12400,8100,4802,7500,3800
1977,72900,68100,6000,1700,574,12700,8200,4980,7700,4300
1978,73200,68100,8200,2100,572,13400,8700,4984,7900,4300
1979,73400,69000,7700,2200,524,14900,9700,5036,7300,3300
1980,74100,69400,8900,2700,628,14700,9400,5468,7500,3700
1981,72900,67800,8800,2900,644,12800,8400,5604,7400,3500
1982,69400,64000,9100,2800,706,15000,9600,5787,8800,5000
1983,69400,63400,8500,2300,701,14600,10400,5784,9000,5200
1984,70300,64100,8200,2300,728,16500,11400,5887,9400,5200
1985,71700,65900,8900,2400,805,16200,11400,5980,9300,4900
1986,73500,67500,8600,2300,869,16600,11000,6002,9500,5100
1987,75000,68800,7500,2100,936,17800,11600,6303,9000,4200
1988,77500,71200,7300,1800,972,17500,12100,6351,9200,4300
1989,77900,70900,8500,2100,1020,18600,13500,6492,9500,4900
1990,75400,68400,8500,2100,1092,19400,13600,6829,9900,5400
1991,73400,65400,8000,1900,1114,19600,13100,6924,10800,6600
1992,72700,65000,7500,1600,1170,19900,13900,7056,11400,7200
1993,70600,63300,6500,1400,1202,21500,15300,6883,12000,8300
1994,72800,65600,6500,1300,1237,22100,16000,6869,12000,8000
1995,72000,64500,6700,1300,1267,22700,15900,6969,11600,7500
1996,73300,64700,6500,1100,1297,23600,17300,6990,11500,7600
1997,74600,65700,6300,1000,1357,23600,17400,6975,11300,7100
1998,77200,66700,5700,700,1480,25200,18500,6994,11700,7800
1999,78700,68100,6600,1100,1578,25600,19800,6900,11200,7300
2000,81400,68800,6300,900,1621,26100,20500,7129,10600,6400
2001,81900,68500,6500,900,1671,26900,20500,7268,11200,7200
2002,82000,68000,5600,800,1690,27600,21800,7181,11400,7800
2003,80900,68000,5800,700,1747,27200,21000,7197,11500,8000
2004,82100,69000,6500,800,1809,28300,22000,7413,11500,7900
2005,82900,69900,6100,700,1851,28600,23100,7530,11400,7500
2006,84000,70900,6700,900,1854,28900,22900,7733,11700,7900
2007,85700,72000,7200,900,1909,29300,22900,7607,12200,8500
2008,88000,74500,7500,900,1872,28000,22200,7893,11900,8000
2009,86200,72800,8200,800,1919,28600,22700,7855,13200,9900
2010,86800,73600,8700,800,1965,28200,21800,8402,12800,9000
2011,87700,73500,8900,900,2084,28900,23000,8457,12400,8300
2012,87700,74400,11100,900,2250,29500,23300,8163,13300,9900
2013,89700,75300,10800,900,2204,30800,23900,8246,13500,10300
2014,90000,75700,10900,900,2359,30700,24200,8248,13400,10600
2015,90500,76200,12400,1000,2322,31100,23400,8556,14000,10700
